company_name,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,total_articles,num_employees,use_cases,status,industry
ZILLOW GROUP,1406.0,887.0,1594.0,551.0,264.0,576.0,2006.0,2011.0,"Zillow Group, Inc.",3.435421,4.741816,5.341311,4.482,4.978823,6.355339,6.660535,6.142,2.696552,2.744744,5.354143,2.081,2.742837,3.339817,8.147376,1.958,-0.456054,-1.038489,1.088279,-1.533,-1.48,-0.72,-2.11,-0.42,6.131973,7.48656,10.695454,6.563,-0.305361,-0.162115,-0.527777,-0.101,USD,,5724.0,,FALSE,Estate
ROYALTY PHARMA PLC,1178.0,930.0,,491.0,256.0,,1996.0,2020.0,Royalty Pharma plc,6.141438,9.896,10.248545,9.525373,12.061693,9.896,12.872664,11.74696,6.308457,6.124,7.26732,7.288093,1.814254,2.122,2.289463,2.237215,-2.116142,-2.759,-1.87028,-1.029421,6.630991,1.32,1.49,,12.449895,16.02,17.515865,16.813466,2.348535,0.975,0.619728,0.042832,USD,,35.0,,FALSE,Healthcare
INCYTE CORPORATION,1253.0,1252.0,865.0,511.0,381.0,349.0,1991.0,,Incyte Corporation,2.598406,2.611268,3.770004,4.370119,2.616706,2.611268,3.770004,4.370119,0.828344,0.94965,1.163348,1.470865,2.158759,2.666702,2.986267,3.394635,-0.087454,-0.269001,-0.207699,-0.078542,2.08,-1.36,4.3,1.53,3.42675,3.560918,4.933352,5.840984,0.446906,-0.295697,0.948581,0.34066,USD,,2324.0,,FALSE,Healthcare
QUALTRICS INTERNATIONAL INC.,1213.0,937.0,,501.0,,,2002.0,2021.0,Qualtrics International Inc.,-0.54052,-0.268902,2.1867,1.90402,-0.54052,-0.268902,2.1867,1.90402,1.143804,1.307957,1.395523,1.491831,0.591155,0.763522,1.075664,1.458628,-0.033181,-0.089518,-0.245615,-0.0512,-1.991344,-0.541339,-2.05,-1.82,0.603284,1.039055,3.582223,3.395851,-1.007633,-0.272502,-1.059146,-1.061478,USD,,5600.0,,FALSE,IT&Software
DYNATRACE,1314.0,1107.0,2006.0,521.0,544.0,689.0,2005.0,,"Dynatrace, Inc.",,0.961497,1.113601,1.304446,,1.471482,1.505514,1.578364,,1.080583,1.142617,1.236864,,0.545803,0.703509,0.929445,,-0.020613,-0.013879,-0.03089,,-1.58,0.27,0.18,,2.04208,2.256218,2.54131,,-0.418024,0.075714,0.052451,USD,,3600.0,,FALSE,IT&Software
ALNYLAM PHARMACEUTICALS,1156.0,888.0,1207.0,481.0,467.0,463.0,2002.0,2004.0,"Alnylam Pharmaceuticals, Inc.",1.438692,1.016247,0.588203,-0.158223,1.438692,1.207525,1.2639,0.858719,0.956442,2.390814,3.055101,3.704582,0.21975,0.492853,0.844287,1.037418,-0.417677,-0.435518,-0.2733,0.169354,-8.11,-7.46,-7.2,,2.395134,3.407061,3.643304,3.546359,-0.886116,-0.858281,-0.852824,-1.131156,USD,,2002.0,,FALSE,Healthcare
AKAMAI TECHNOLOGIES,1142.0,1172.0,1107.0,474.0,408.0,429.0,1998.0,1999.0,"Akamai Technologies, Inc.",3.657958,4.251296,4.530014,4.360187,5.497749,6.158003,6.506181,6.645445,3.348928,3.512834,3.608659,3.943213,2.893617,3.198149,3.461223,3.616654,-1.517934,-1.042974,-0.646899,-0.62231,2.94,3.43,4.01,3.29,7.006886,7.76413,8.138673,8.3034,0.478035,0.557054,0.651642,0.523672,USD,,9800.0,,FALSE,IT&Software
CONFLUENT INC,1155.0,1449.0,2915.0,480.0,968.0,948.0,2014.0,2021.0,"Confluent, Inc.",-0.130765,-0.306249,0.850281,0.769477,-0.130765,-0.306249,1.930982,1.853977,0.337085,0.832368,1.492448,1.575372,0.149805,0.236577,0.387864,0.585944,0.035641,-0.176859,-0.400583,-0.865805,-0.4238,-1.024822,-1.82,,0.20632,0.526119,2.342729,2.344849,-0.095042,-0.229828,-0.342801,-0.452551,USD,,2761.0,,FALSE,IT&Software
JACOBS ENGINEERING GROUP,1154.0,1212.0,1287.0,479.0,500.0,485.0,1947.0,,Jacobs Engineering Group Inc,5.768658,5.855667,6.632559,6.736914,6.915936,7.492653,8.779974,9.417312,5.694053,6.498686,8.00005,7.923505,12.737868,13.566975,14.092632,14.922825,2.152349,-0.429092,-1.380743,-0.538419,6.14,3.74,3.22,5.01,11.462711,12.354353,14.632609,14.660419,0.847979,0.491845,0.47703,0.644039,USD,,60000.0,,FALSE,Services&Travel
WABTEC CORPORATION,1153.0,1246.0,1020.0,478.0,498.0,401.0,1869.0,,Westinghouse Air Brake Technologies Corporation,9.9936,10.1527,10.239,10.147,14.2901,13.9145,14.257,13.853,8.8926,8.3018,8.215,8.369,8.2,7.5561,7.822,8.362,-3.1778,-0.1554,-0.54,-0.235,1.91,2.18,2.96,3.46,18.8862,18.4545,18.454,18.516,0.3267,0.4144,0.558,0.633,USD,,27000.0,,FALSE,Transport&Aerospace
VIATRIS INC,1151.0,1203.0,1441.0,477.0,342.0,526.0,1961.0,,Viatris Inc.,11.8838,22.9541,20.4927,21.0723,23.0981,45.3833,40.2098,39.0875,19.3717,38.5989,34.3501,28.9499,11.5005,11.946,17.8863,16.2627,-0.5254,-0.3011,-0.1178,1.5205,0.03,-1.11,-1.05,1.71,31.2555,61.553,54.8428,50.0222,0.0168,-0.6699,-1.2691,2.0786,USD,,37000.0,,FALSE,Healthcare
